ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
166020.OF,中欧成长优选回报A,中欧基金,20130821,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),2.0,0.25,曹名长 沈悦 袁维德,1.19,20211231,0.15644985181718912,-0.18599473790730625,0.32582290734294717,0.23346270994188856,0.29105957916733416,-0.03899544219272179,0.9093732023085321
166019.OF,中欧价值智选回报A,中欧基金,20130514,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),1.5,0.25,袁维德,140.3,20211231,-0.0565806816042177,-0.07854683367433493,0.46295212800519814,0.609376361544524,0.5240766331050833,-0.08593069351218723,1.8513940359630954
166009.SZ,中欧动力LOF,中欧基金,20110210,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,王健 许文星,20.98,20211231,0.14814516453860713,-0.20426561897077897,0.5636494754936529,0.6174411528051806,0.09929119159228354,-0.03963849691322452,1.43998609981069
001955.OF,中欧养老产业A,中欧基金,20160513,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,王健 许文星,39.42,20211231,0.15879017013232508,-0.17862969004893972,0.7034825870646768,0.43457943925233644,0.3379478827361564,-0.023128423615337818,2.0340264650283553
001990.OF,中欧数据挖掘多因子A,中欧基金,20160113,混合型,灵活配置型,中证500指数收益率*95%+中债综合指数收益率*5%,1.5,0.25,曲径,22.81,20211231,-0.005270331667423923,-0.193551333576909,0.5198537572254336,0.5692295239755236,0.22880461494150467,-0.12092793460132317,1.0654839164016356
166006.SZ,中欧成长LOF,中欧基金,20091230,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,王培,82.75,20211231,0.35408492457930063,-0.2125563425627816,0.6123896811120195,0.675563379926712,0.02790736662956038,-0.15075438505567784,1.514890417647572
166002.OF,中欧新蓝筹A,中欧基金,20080725,混合型,灵活配置型,沪深300指数*60%+上证国债指数*35%+一年期定期存款利率*5%,1.5,0.25,周蔚文,143.2,20211231,0.19700457293680743,-0.1832982923952618,0.591082380638478,0.42773877423995416,0.033865280892705886,-0.06407610147233299,1.149115299389252
166001.SZ,中欧趋势LOF,中欧基金,20070129,混合型,混合型,富时中国A600指数*80%+富时中国国债指数*20%,1.5,0.25,周蔚文,57.87,20211231,0.23844117812693585,-0.2342321858942295,0.5481366405415036,0.6026080408565295,0.013305640132763238,-0.07371668757210262,1.2087419271273299
001117.OF,中欧精选A,中欧基金,20150318,混合型,灵活配置型,沪深300指数收益率*65%+中债综合指数收益率*35%,1.0,0.25,周蔚文,72.66,20211231,0.2777036048064085,-0.22152560083594564,0.6241610738255033,0.5826446280991736,0.01879895561357704,-0.06970784213223993,1.4232309746328435
166024.SZ,中欧恒利定开,中欧基金,20171101,混合型,混合型,沪深300指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,曹名长 沈悦,4.83,20211231,0.008000000000000007,-0.19140702520341343,0.2722133464421776,0.08512251738794456,0.31584374847522123,-0.042355753460261956,0.41550551
166005.OF,中欧价值发现A,中欧基金,20090724,混合型,混合型,沪深300指数*80%+上证国债指数*20%,1.5,0.25,曹名长 沈悦 蓝小康,28.65,20211231,0.2611611161116111,-0.19247787610619474,0.2907502761454513,0.1684350937001805,0.26667012498355663,-0.05014338388427764,0.8482744824482448
162703.SZ,广发小盘LOF,广发基金,20050202,混合型,混合型,天相小市值指数,1.5,0.25,刘格菘,131.62,20211231,0.28678594524682044,-0.2600087105095648,0.9317046899049344,0.7431806995796332,0.018620041765027424,-0.1143642976981578,1.8930225220952794
005233.OF,广发睿毅领先A,广发基金,20171214,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,林英睿,19.94,20211231,0.0038000000000000256,-0.07136449715937417,0.4210582805624129,0.6275679758308157,0.23124042879019907,0.024423337856173667,1.718
001763.OF,广发多策略,广发基金,20151209,混合型,灵活配置型,沪深300指数*50%+中证全债指数*50%,1.5,0.25,林英睿,12.37,20211231,0.03528114663726562,-0.1299254526091587,0.21052631578947376,0.4226491405460061,0.26510305614783225,0.025280898876404456,1.01212789415656
002624.OF,广发优企精选A,广发基金,20160804,混合型,灵活配置型,中证800指数收益率*65%+中证全债指数收益率*35%,1.5,0.25,程琨,18.81,20211231,0.31695085255767297,-0.08560548362528565,0.426909395302349,0.5463132238788881,0.08591132868359531,-0.07617492197052639,1.66551517552658
