ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
630008.OF,华商策略精选,华商基金,混合型,20101109,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,混合型,O,刘力 王毅文,4.88,20220930.0,-0.03693570451436392,0.2727272727272728,0.3270089285714286,0.30193439865433136,-0.10852713178294583,0.08550724637681167,-0.16315086782376498,0.4542502632418634,0.3854895098134353,0.21514195704492986,-0.06801661674175584,2.9130841313269498
002319.OF,大成一带一路,大成基金,混合型,20170602,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,齐炜中,1.26,20220930.0,,,,,,0.12300000000000001,-0.15271593944790735,0.40684084077771937,0.439357432707052,0.2399553566446981,-0.06930693392561585,1.2234887799999998
450009.OF,国富中小盘,国海富兰克林基金,股票型,20101123,1.5,0.25,中证700指数收益率*90%+银行同业存款利率*10%,股票型,O,赵晓东,35.14,20220930.0,0.2497027348394768,-0.08182683158896288,0.32331606217616576,0.5912294440093971,-0.0339566929133858,0.2439123790117168,-0.16835940699483995,0.4452650957797804,0.5375615766756849,0.11333600427591335,-0.07014388598038161,4.5548432699167645
320018.OF,诺安新动力A,诺安基金,混合型,20120305,1.5,0.25,沪深300指数*60%+中证综合债券指数*40%,灵活配置型,O,曲泉儒,4.62,20220930.0,-0.014000000000000012,0.14107505070993914,0.4265398631232779,0.3018691588785048,-0.1666905958363245,0.11538019756489767,-0.13907625765923487,0.4199086184210527,0.4739069126276959,0.3304625188924428,-0.07024694291902885,3.32849563
001179.OF,德邦大健康,德邦基金,混合型,20150429,1.5,0.25,中证健康产业指数*80%+中证全债指数收益率*20%,灵活配置型,O,黎莹,3.96,20220930.0,,,,-0.05559999999999998,-0.1255823803473105,0.3860031480808816,-0.17164570230607967,0.4841296499367354,0.4350464967261947,0.05491110457909698,-0.07166933472567867,0.97809853
001357.OF,泓德泓富A,泓德基金,混合型,20150609,0.7,0.15,沪深300指数收益率*50%+中证综合债券指数收益率*45%+银行活期存款利率(税后)*5%,灵活配置型,O,刘星洋 季宇,3.37,20220930.0,,,,0.042999999999999934,0.07938638542665387,0.1176052584828567,-0.1412447341228837,0.3634946593854128,0.6601650403640336,0.04695411376602468,-0.07602732642255028,1.36578926
080005.OF,长盛量化红利策略,长盛基金,混合型,20091125,1.5,0.25,中证红利指数*75%+中证综合债指数*25%,混合型,O,王宁,1.89,20220930.0,0.022845877304882356,0.07437641723356007,0.4341494301392993,0.6566593083149374,-0.10144798791862827,0.14137419673751855,-0.10268514508445227,0.314869331661684,0.3823326420480991,0.251123315226136,-0.07621707834190207,4.052120375739302
519714.OF,交银消费新驱动,交银施罗德基金,股票型,20150701,1.5,0.25,中证内地消费主题指数*85%+中证综合债券指数*15%,股票型,O,韩威俊,34.98,20220930.0,,,,-0.017000000000000015,0.021363173957273676,0.2824701195219124,-0.139950295122709,0.3626165522846308,1.032388664477386,0.03984063969763583,-0.07710728101508785,1.94308598
001376.OF,泓德泓富C,泓德基金,混合型,20150609,0.7,0.15,沪深300指数收益率*50%+中证综合债券指数收益率*45%+银行活期存款利率(税后)*5%,灵活配置型,O,刘星洋 季宇,0.01,20220930.0,,,,0.04200000000000004,0.07610364683301336,0.11210202443592272,-0.1456411901515759,0.3565606288127641,0.6517946000781021,0.04184130483979368,-0.07996609797464538,1.28851681
450001.OF,国富中国收益,国海富兰克林基金,混合型,20050601,1.38,0.25,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,混合型,O,徐荔蓉,20.62,20220930.0,0.013818181818181912,0.08699186991869905,0.21479167583263672,0.28539350258954777,-0.010960525203572718,0.09505256825278594,-0.10454985479186832,0.3959783637691747,0.5267261808388551,0.18367187381585534,-0.09157798947571924,2.802842303030303
