ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
011493.OF,华泰紫金丰睿C,华泰证券资管,20210520,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.8,0.15,刘鹏飞,0.01,20220930,,,,,,,,,,0.06580000000000008,-0.04466128729592802,0.018199999999999994
011943.OF,工银瑞信瑞盛一年定开,工银瑞信基金,20210520,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.08,李娜 王朔,53.0,20220930,,,,,,,,,,0.022199999999999998,0.023283114850322875,0.04600000000000004
012100.OF,华夏稳健增利4个月滚动持有C,华夏基金,20210519,债券型,债券型,中债综合指数收益率*95%+沪深300指数收益率*3%+中证港股通综合指数收益率*2%,0.35,0.08,刘明宇,4.09,20220930,,,,,,,,,,0.021300000000000097,0.021345344169195944,0.043099999999999916
011654.OF,国泰鑫享稳健6个月滚动持有C,国泰基金,20210519,债券型,债券型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,0.6,0.05,刘波,0.17,20220930,,,,,,,,,,0.036599999999999966,-0.020355006752845742,0.01550000000000007
011653.OF,国泰鑫享稳健6个月滚动持有A,国泰基金,20210519,债券型,债券型,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,0.6,0.05,刘波,0.4,20220930,,,,,,,,,,0.038000000000000034,-0.017919075144508623,0.019400000000000084
012392.OF,兴银稳安60天滚动持有A,兴银基金,20210519,债券型,债券型,中债综合财富(一年以下)指数收益率*80%+人民币活期存款利率(税后)*20%,0.2,0.05,李文程,0.6,20220930,,,,,,,,,,0.0253000000000001,0.024383107383204827,0.05030000000000001
012376.OF,西部利得祥逸D,西部利得基金,20210519,债券型,债券型,中债综合指数收益率,0.3,0.1,易圣倩,0.0,20220930,,,,,,,,,,0.03783197556008161,0.004139972528955057,0.0421285714285715
012099.OF,华夏稳健增利4个月滚动持有A,华夏基金,20210519,债券型,债券型,中债综合指数收益率*95%+沪深300指数收益率*3%+中证港股通综合指数收益率*2%,0.35,0.08,刘明宇,6.07,20220930,,,,,,,,,,0.022599999999999953,0.023176217484842613,0.04630000000000001
012393.OF,兴银稳安60天滚动持有C,兴银基金,20210519,债券型,债券型,中债综合财富(一年以下)指数收益率*80%+人民币活期存款利率(税后)*20%,0.2,0.05,李文程,1.26,20220930,,,,,,,,,,0.024899999999999922,0.023807200702507542,0.0492999999999999
011656.OF,天弘京津冀主题A,天弘基金,20210518,债券型,债券型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.3,0.1,赵鼎龙,15.38,20220930,,,,,,,,,,0.027900000000000036,0.028790738398676814,0.057493999999999934
970026.OF,申万宏源灵通快利短债,申万宏源证券,20210518,债券型,债券型,中债综合财富(1年以下)指数收益率,0.7,0.1,丁杰科 季程,5.16,20220930,,,,,,,,,,0.0158018798120189,0.020486493864289038,0.036612098790121096
011657.OF,天弘京津冀主题C,天弘基金,20210518,债券型,债券型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.3,0.1,赵鼎龙,0.55,20220930,,,,,,,,,,0.026000000000000023,0.025485964912280668,0.05214859999999999
012016.OF,国投瑞银顺成3个月定开,国投瑞银基金,20210518,债券型,债券型,中债综合指数收益率,0.3,0.1,杨枫,50.55,20220930,,,,,,,,,,0.03125372999999998,0.026538279769422125,0.058621430000000085
011950.OF,嘉实稳元纯债C,嘉实基金,20210518,债券型,债券型,中债总全价指数收益率,0.3,0.1,闫红蕾,0.0,20220930,,,,,,,,,,0.01721603160316027,0.01555730741808172,0.03304117411741177
011642.OF,财通资管睿慧1年定开,财通证券资管,20210517,债券型,债券型,中债综合指数收益率,0.3,0.1,夏金涛 王亚军,20.66,20220930,,,,,,,,,,0.029900000000000038,0.03362198271676865,0.06452728000000008
012035.OF,中信建投稳骏一年定开,中信建投基金,20210513,债券型,债券型,中证综合债指数收益率,0.3,0.1,黄海浩,5.28,20220930,,,,,,,,,,0.020419500000000035,0.027992565802593884,0.048983659999999984
012233.OF,招商安盈C,招商基金,20210513,债券型,债券型,中债综合全价(总值)指数收益率,0.7,0.2,尹晓红 蔡振,0.02,20220930,,,,,,,,,,0.07040987971130709,-0.0015625249100780648,0.06873733761026452
970012.OF,平安证券安赢添利半年B,平安证券,20210512,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.4,0.05,姜杰特,0.1,20220930,,,,,,,,,,0.02970000000000006,-0.012722152083131117,0.016599999999999948
970011.OF,平安证券安赢添利半年A,平安证券,20210512,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.4,0.05,姜杰特,1.87,20220930,,,,,,,,,,0.03179682031796825,-0.0097877701327648,0.021697830216978357
970013.OF,平安证券安赢添利半年C,平安证券,20210512,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.4,0.05,姜杰特,0.05,20220930,,,,,,,,,,0.030899999999999928,-0.01086429333591995,0.01970000000000005
970014.OF,平安证券安赢添利半年D,平安证券,20210512,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.4,0.05,姜杰特,0.0,20220930,,,,,,,,,,0.0,0.0,0.0
970022.OF,信达丰睿六个月持有,信达证券,20210512,债券型,债券型,中债综合全价(总值)指数收益率,0.6,0.1,王琳,1.37,20220930,,,,,,,,,,0.04675930621766917,0.018217054263565822,0.06582817729992896
012246.OF,博时月月享30天持有A,博时基金,20210512,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+一年期定期存款利率(税后)*20%,0.2,0.05,魏桢 鲁邦旺,0.5,20220930,,,,,,,,,,0.018000000000000016,0.02131630648330064,0.03970000000000007
012133.OF,招商添浩D,招商基金,20210512,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1,滕越,,,,,,,,,,,,0.004501739308369101,,0.004501739308369101
012247.OF,博时月月享30天持有C,博时基金,20210512,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+一年期定期存款利率(税后)*20%,0.2,0.05,魏桢 鲁邦旺,39.75,20220930,,,,,,,,,,0.01639999999999997,0.019185360094451077,0.03590000000000004
012050.OF,天弘安盈一年持有C,天弘基金,20210512,债券型,债券型,中债新综合指数(财富)收益率*85%+沪深300指数收益率*12%+中证港股通综合指数收益率*3%,0.55,0.1,任明 姜晓丽 贺剑,68.96,20220930,,,,,,,,,,0.06630000000000003,-0.043421176029260065,0.020000000000000018
012192.OF,中银恒泰9个月持有C,中银基金,20210512,债券型,债券型,中债新综合财富指数收益率*87%+沪深300指数收益率*10%+中证港股通综合指数收益率*3%,0.55,0.1,杨亦然 白洁,3.52,20220930,,,,,,,,,,0.014799999999999924,-0.043851005124162276,-0.02969999999999995
012049.OF,天弘安盈一年持有A,天弘基金,20210512,债券型,债券型,中债新综合指数(财富)收益率*85%+沪深300指数收益率*12%+中证港股通综合指数收益率*3%,0.55,0.1,任明 姜晓丽 贺剑,5.0,20220930,,,,,,,,,,0.06869999999999998,-0.04004865724712262,0.025900000000000034
012191.OF,中银恒泰9个月持有A,中银基金,20210512,债券型,债券型,中债新综合财富指数收益率*87%+沪深300指数收益率*10%+中证港股通综合指数收益率*3%,0.55,0.1,杨亦然 白洁,0.84,20220930,,,,,,,,,,0.016999999999999904,-0.040412979351032365,-0.02410000000000001
010733.OF,红塔红土瑞景A,红塔红土基金,20210511,债券型,债券型,中债综合指数(总财富)收益率,0.3,0.1,吴秋松 陈纪靖,5.07,20220930,,,,,,,,,,0.011900000000000022,0.017272111868761746,0.029377650000000033
010734.OF,红塔红土瑞景C,红塔红土基金,20210511,债券型,债券型,中债综合指数(总财富)收益率,0.3,0.1,吴秋松 陈纪靖,0.01,20220930,,,,,,,,,,0.010999999999999899,0.015701335311572785,0.026874049999999983
012265.OF,天弘安怡30天滚动持有,天弘基金,20210511,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+银行一年期定期存款利率(税后)*20%,0.2,0.05,王昌俊,40.75,20220930,,,,,,,,,,0.02499999999999991,0.023609756097560976,0.04919999999999991
012230.OF,华安众鑫90天滚动持有C,华安基金,20210507,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,0.2,0.05,郑如熙 马晓璇,8.9,20220930,,,,,,,,,,0.017400000000000082,0.022803223904069084,0.04059999999999997
012229.OF,华安众鑫90天滚动持有A,华安基金,20210507,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款基准利率(税后)*10%,0.2,0.05,郑如熙 马晓璇,0.24,20220930,,,,,,,,,,0.019200000000000106,0.024725274725274613,0.044399999999999995
011109.OF,南方晖元6个月持有A,南方基金,20210507,债券型,债券型,中债综合指数收益率*90%+沪深300指数收益率*7.5%+中证港股通综合指数(人民币)收益率*2.5%,0.6,0.1,刘建岩,1.21,20220930,,,,,,,,,,0.028899999999999926,-0.08591699873651465,-0.0595
011110.OF,南方晖元6个月持有C,南方基金,20210507,债券型,债券型,中债综合指数收益率*90%+沪深300指数收益率*7.5%+中证港股通综合指数(人民币)收益率*2.5%,0.6,0.1,刘建岩,0.27,20220930,,,,,,,,,,0.027099999999999902,-0.0886963294713269,-0.06399999999999995
970029.OF,安信资管瑞元添利A,安信资管,20210506,债券型,债券型,中债综合财富(总值)指数收益率*90%+一年期定期存款利率*10%,0.4,0.1,张亚非,0.71,20220930,,,,,,,,,,0.049096117751654726,0.004048964218455716,0.053343870394151977
970030.OF,安信资管瑞元添利B,安信资管,20210506,债券型,债券型,中债综合财富(总值)指数收益率*90%+一年期定期存款利率*10%,0.4,0.1,张亚非,4.96,20220930,,,,,,,,,,0.048799762916131695,0.004050108316850307,0.053047515558628945
970031.OF,安信资管瑞元添利C,安信资管,20210506,债券型,债券型,中债综合财富(总值)指数收益率*90%+一年期定期存款利率*10%,0.4,0.1,张亚非,15.9,20220930,,,,,,,,,,0.046922848957818925,0.0009435742592941024,0.04791069840956237
