,date,open,close,high,low,volume,code
142,2008-07-31,2894.25,2805.21,2899.07,2804.7,27941000.0,sh000300
143,2008-08-01,2786.12,2840.79,2868.68,2748.75,34031500.0,sh000300
144,2008-08-04,2816.94,2773.15,2832.9,2767.53,22782300.0,sh000300
145,2008-08-05,2780.76,2703.08,2792.74,2695.37,30469200.0,sh000300
146,2008-08-06,2723.52,2721.69,2749.1,2679.66,27404000.0,sh000300
147,2008-08-07,2717.66,2720.44,2747.88,2683.41,23370400.0,sh000300
148,2008-08-08,2719.38,2591.46,2719.38,2581.81,30894600.0,sh000300
149,2008-08-11,2579.8,2456.81,2580.72,2442.79,32120200.0,sh000300
150,2008-08-12,2431.38,2444.16,2474.32,2413.6,24191900.0,sh000300
151,2008-08-13,2427.5,2444.67,2466.09,2369.58,27551700.0,sh000300
152,2008-08-14,2429.98,2443.51,2461.24,2410.49,20157200.0,sh000300
153,2008-08-15,2440.39,2447.61,2479.15,2412.95,20422300.0,sh000300
154,2008-08-18,2451.31,2313.4,2452.63,2312.95,23623100.0,sh000300
155,2008-08-19,2285.51,2348.47,2356.19,2273.89,19477100.0,sh000300
156,2008-08-20,2332.39,2532.94,2533.3,2312.18,45043400.0,sh000300
157,2008-08-21,2494.26,2443.98,2535.86,2438.86,37518000.0,sh000300
158,2008-08-22,2421.25,2404.93,2437.43,2362.63,26298200.0,sh000300
159,2008-08-25,2408.03,2400.55,2439.91,2373.76,18643200.0,sh000300
160,2008-08-26,2370.53,2331.53,2390.66,2306.94,23741900.0,sh000300
161,2008-08-27,2322.54,2325.29,2367.72,2291.35,23862600.0,sh000300
162,2008-08-28,2325.26,2335.86,2363.56,2316.68,20400300.0,sh000300
163,2008-08-29,2347.4,2391.64,2418.05,2339.52,28877800.0,sh000300
164,2008-09-01,2372.64,2309.17,2372.64,2297.02,21152800.0,sh000300
165,2008-09-02,2292.69,2285.41,2309.21,2268.0,18440500.0,sh000300
166,2008-09-03,2279.6,2245.96,2296.03,2219.56,23749500.0,sh000300
167,2008-09-04,2238.65,2251.15,2270.41,2216.11,18984800.0,sh000300
168,2008-09-05,2193.04,2183.43,2221.09,2172.94,21654500.0,sh000300
169,2008-09-08,2189.82,2126.52,2198.76,2119.12,22186600.0,sh000300
170,2008-09-09,2135.22,2139.15,2150.99,2111.4,17624300.0,sh000300
171,2008-09-10,2124.97,2143.18,2181.25,2099.23,22057800.0,sh000300
172,2008-09-11,2135.45,2072.13,2142.0,2067.25,22176800.0,sh000300
173,2008-09-12,2071.06,2077.85,2102.98,2066.44,19197000.0,sh000300
174,2008-09-16,2050.32,2000.65,2050.32,1987.3,33563300.0,sh000300
175,2008-09-17,1981.25,1929.14,2003.91,1923.55,32862200.0,sh000300
176,2008-09-18,1876.96,1895.99,1936.73,1804.77,47820300.0,sh000300
177,2008-09-19,2065.78,2073.11,2073.11,2046.22,36525400.0,sh000300
178,2008-09-22,2228.37,2207.61,2258.42,2130.31,101994000.0,sh000300
179,2008-09-23,2141.6,2123.48,2180.37,2118.92,78365600.0,sh000300
180,2008-09-24,2072.65,2138.85,2139.22,2050.97,45328200.0,sh000300
181,2008-09-25,2143.73,2223.53,2256.27,2139.62,74237900.0,sh000300
182,2008-09-26,2234.46,2243.66,2257.16,2192.13,59429900.0,sh000300
183,2008-10-06,2206.56,2128.7,2206.56,2128.27,45575300.0,sh000300
184,2008-10-07,2043.92,2102.45,2136.12,2024.65,43065300.0,sh000300
185,2008-10-08,2041.99,2022.88,2073.07,2000.52,36874700.0,sh000300
186,2008-10-09,2059.58,1995.3,2063.3,1993.01,33582300.0,sh000300
187,2008-10-10,1913.27,1906.96,1938.21,1881.67,39151600.0,sh000300
188,2008-10-13,1889.75,1985.49,1985.63,1841.53,43538100.0,sh000300
189,2008-10-14,2054.41,1934.62,2060.49,1934.46,54331900.0,sh000300
190,2008-10-15,1911.03,1914.36,1930.63,1892.02,31892400.0,sh000300
191,2008-10-16,1833.48,1820.9,1866.9,1818.93,40529600.0,sh000300
192,2008-10-17,1837.91,1833.26,1851.33,1805.67,28715400.0,sh000300
193,2008-10-20,1828.41,1896.73,1899.35,1802.09,33277200.0,sh000300
194,2008-10-21,1901.24,1881.41,1928.19,1880.52,38908400.0,sh000300
195,2008-10-22,1854.6,1833.32,1887.31,1832.45,32968600.0,sh000300
196,2008-10-23,1794.68,1834.78,1836.41,1779.13,35758700.0,sh000300
197,2008-10-24,1831.46,1781.6,1840.88,1769.11,32980700.0,sh000300
198,2008-10-27,1746.67,1654.67,1746.67,1652.79,36441800.0,sh000300
199,2008-10-28,1614.62,1705.82,1716.31,1607.67,46792800.0,sh000300
200,2008-10-29,1723.23,1658.22,1731.26,1657.65,38869500.0,sh000300
201,2008-10-30,1669.97,1697.66,1723.93,1646.34,41284300.0,sh000300
202,2008-10-31,1688.09,1663.66,1696.65,1655.09,28314500.0,sh000300
203,2008-11-03,1648.56,1653.54,1684.56,1643.42,25381100.0,sh000300
204,2008-11-04,1646.2,1627.76,1648.45,1606.73,26100200.0,sh000300
205,2008-11-05,1641.26,1691.42,1714.66,1641.26,42418200.0,sh000300
206,2008-11-06,1648.13,1649.78,1661.44,1638.34,30784200.0,sh000300
207,2008-11-07,1618.75,1677.83,1690.1,1612.74,31521600.0,sh000300
208,2008-11-10,1714.12,1801.67,1803.12,1714.12,63948900.0,sh000300
209,2008-11-11,1795.3,1781.36,1824.93,1778.33,66072800.0,sh000300
210,2008-11-12,1758.48,1801.82,1806.23,1754.29,44088000.0,sh000300
211,2008-11-13,1777.03,1874.08,1891.94,1765.64,83234600.0,sh000300
212,2008-11-14,1893.31,1943.65,1943.65,1874.93,91168700.0,sh000300
213,2008-11-17,1934.74,1987.22,1987.22,1919.97,87836600.0,sh000300
214,2008-11-18,1974.38,1839.82,1994.82,1831.76,97278400.0,sh000300
215,2008-11-19,1831.6,1953.16,1959.52,1823.27,82117400.0,sh000300
216,2008-11-20,1916.7,1932.43,1976.95,1900.27,83187000.0,sh000300
217,2008-11-21,1872.27,1920.73,1968.89,1835.09,83049300.0,sh000300
218,2008-11-24,1913.99,1837.64,1923.93,1835.86,50561500.0,sh000300
219,2008-11-25,1870.06,1834.29,1883.1,1801.56,42814600.0,sh000300
220,2008-11-26,1832.11,1843.49,1865.65,1815.02,45565600.0,sh000300
221,2008-11-27,1961.89,1870.47,1969.02,1870.05,88008300.0,sh000300
222,2008-11-28,1851.1,1829.92,1866.26,1815.45,51590700.0,sh000300
223,2008-12-01,1823.77,1864.2,1864.3,1799.84,48386300.0,sh000300
224,2008-12-02,1821.54,1868.63,1891.13,1814.9,61350200.0,sh000300
225,2008-12-03,1884.6,1952.67,1952.67,1884.6,85019100.0,sh000300
226,2008-12-04,1980.44,1982.93,2046.47,1978.14,119183000.0,sh000300
227,2008-12-05,1969.74,2013.18,2014.2,1965.09,74366300.0,sh000300
228,2008-12-08,2040.47,2095.04,2095.47,2033.98,107607000.0,sh000300
229,2008-12-09,2104.12,2040.85,2107.6,2038.07,92509800.0,sh000300
230,2008-12-10,2028.51,2096.39,2096.39,2014.28,83271100.0,sh000300
231,2008-12-11,2087.43,2046.34,2107.29,2043.62,73556200.0,sh000300
232,2008-12-12,2027.07,1960.38,2038.19,1936.28,67387300.0,sh000300
233,2008-12-15,1991.55,1975.03,2006.22,1941.05,50451100.0,sh000300
234,2008-12-16,1956.99,1994.45,1994.96,1919.87,47924900.0,sh000300
235,2008-12-17,2002.03,2001.42,2030.39,1995.65,58685200.0,sh000300
236,2008-12-18,2001.05,2045.1,2045.94,1982.43,58429200.0,sh000300
237,2008-12-19,2037.37,2052.11,2075.38,2033.11,63311200.0,sh000300
238,2008-12-22,2050.77,2017.55,2055.37,1993.33,52949500.0,sh000300
239,2008-12-23,2019.23,1918.95,2019.23,1918.43,63590500.0,sh000300
240,2008-12-24,1893.22,1887.07,1912.78,1872.65,44201800.0,sh000300
241,2008-12-25,1891.53,1870.77,1902.71,1848.71,39916800.0,sh000300
242,2008-12-26,1868.34,1862.1,1881.08,1850.5,34560900.0,sh000300
243,2008-12-29,1852.41,1854.76,1861.3,1816.06,35986900.0,sh000300
244,2008-12-30,1852.95,1833.44,1867.41,1824.53,37584600.0,sh000300
245,2008-12-31,1835.1,1817.72,1844.42,1813.73,35631400.0,sh000300
246,2009-01-05,1848.33,1882.96,1882.96,1837.84,48187000.0,sh000300
247,2009-01-06,1880.67,1942.8,1948.49,1873.01,70974100.0,sh000300
248,2009-01-07,1942.67,1931.18,1959.25,1930.87,59702200.0,sh000300
249,2009-01-08,1894.66,1887.99,1902.8,1873.65,53446500.0,sh000300
250,2009-01-09,1886.49,1918.36,1923.42,1886.49,47407200.0,sh000300
251,2009-01-12,1911.74,1920.69,1947.08,1905.62,54234200.0,sh000300
252,2009-01-13,1892.66,1876.19,1908.2,1874.97,49818100.0,sh000300
253,2009-01-14,1873.63,1955.24,1955.24,1873.63,59283200.0,sh000300
254,2009-01-15,1935.39,1954.87,1977.19,1930.3,78943600.0,sh000300
