ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
630008.OF,华商策略精选,华商基金,混合型,20101109,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,混合型,O,刘力 王毅文,4.88,20220930.0,-0.0369357045143639,0.2727272727272728,0.3270089285714286,0.3019343986543313,-0.1085271317829458,0.0855072463768116,-0.1631508678237649,0.4542502632418634,0.3854895098134353,0.2151419570449298,-0.0680166167417558,2.9130841313269498
002319.OF,大成一带一路,大成基金,混合型,20170602,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,齐炜中,1.26,20220930.0,,,,,,0.123,-0.1527159394479073,0.4068408407777193,0.4393574327070519,0.2399553566446981,-0.0693069339256158,1.2234887799999998
450009.OF,国富中小盘,国海富兰克林基金,股票型,20101123,1.5,0.25,中证700指数收益率*90%+银行同业存款利率*10%,股票型,O,赵晓东,35.14,20220930.0,0.2497027348394767,-0.0818268315889628,0.3233160621761657,0.5912294440093971,-0.0339566929133858,0.2439123790117168,-0.1683594069948399,0.4452650957797804,0.5375615766756849,0.1133360042759133,-0.0701438859803816,4.554843269916765
320018.OF,诺安新动力A,诺安基金,混合型,20120305,1.5,0.25,沪深300指数*60%+中证综合债券指数*40%,灵活配置型,O,曲泉儒,4.62,20220930.0,-0.014,0.1410750507099391,0.4265398631232779,0.3018691588785048,-0.1666905958363245,0.1153801975648976,-0.1390762576592348,0.4199086184210526,0.4739069126276959,0.3304625188924427,-0.0702469429190288,3.32849563
001179.OF,德邦大健康,德邦基金,混合型,20150429,1.5,0.25,中证健康产业指数*80%+中证全债指数收益率*20%,灵活配置型,O,黎莹,3.96,20220930.0,,,,-0.0555999999999999,-0.1255823803473105,0.3860031480808816,-0.1716457023060796,0.4841296499367354,0.4350464967261947,0.0549111045790969,-0.0716693347256786,0.97809853
001357.OF,泓德泓富A,泓德基金,混合型,20150609,0.7,0.15,沪深300指数收益率*50%+中证综合债券指数收益率*45%+银行活期存款利率(税后)*5%,灵活配置型,O,刘星洋 季宇,3.37,20220930.0,,,,0.0429999999999999,0.0793863854266538,0.1176052584828567,-0.1412447341228837,0.3634946593854128,0.6601650403640336,0.0469541137660246,-0.0760273264225502,1.36578926
080005.OF,长盛量化红利策略,长盛基金,混合型,20091125,1.5,0.25,中证红利指数*75%+中证综合债指数*25%,混合型,O,王宁,1.89,20220930.0,0.0228458773048823,0.07437641723356,0.4341494301392993,0.6566593083149374,-0.1014479879186282,0.1413741967375185,-0.1026851450844522,0.3148693316616839,0.3823326420480991,0.251123315226136,-0.076217078341902,4.052120375739302
519714.OF,交银消费新驱动,交银施罗德基金,股票型,20150701,1.5,0.25,中证内地消费主题指数*85%+中证综合债券指数*15%,股票型,O,韩威俊,34.98,20220930.0,,,,-0.017,0.0213631739572736,0.2824701195219124,-0.139950295122709,0.3626165522846308,1.032388664477386,0.0398406396976358,-0.0771072810150878,1.94308598
001376.OF,泓德泓富C,泓德基金,混合型,20150609,0.7,0.15,沪深300指数收益率*50%+中证综合债券指数收益率*45%+银行活期存款利率(税后)*5%,灵活配置型,O,刘星洋 季宇,0.01,20220930.0,,,,0.042,0.0761036468330133,0.1121020244359227,-0.1456411901515759,0.356560628812764,0.6517946000781021,0.0418413048397936,-0.0799660979746453,1.28851681
450001.OF,国富中国收益,国海富兰克林基金,混合型,20050601,1.38,0.25,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,混合型,O,徐荔蓉,20.62,20220930.0,0.0138181818181819,0.086991869918699,0.2147916758326367,0.2853935025895477,-0.0109605252035727,0.0950525682527859,-0.1045498547918683,0.3959783637691747,0.5267261808388551,0.1836718738158553,-0.0915779894757192,2.802842303030303
501046.SH,财通福鑫定开混合,财通基金,混合型,20171023,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,E,金梓才,2.82,20220930.0,,,,,,0.0143999999999999,-0.1591402090317491,0.7191933403681556,0.5708245243128965,0.1604654191811747,-0.093681020614314,1.4225
003434.OF,博时鑫泽A,博时基金,混合型,20161017,0.8,0.2,沪深300指数收益率*50%+中证综合债指数收益率*50%,灵活配置型,O,金晟哲,4.47,20220930.0,,,,,-0.001,0.135135135135135,-0.1428571428571428,0.4872460082304526,0.4324127842225465,0.1420598708633074,-0.1017325640340677,1.12428016
003435.OF,博时鑫泽C,博时基金,混合型,20161017,0.8,0.2,沪深300指数收益率*50%+中证综合债指数收益率*50%,灵活配置型,O,金晟哲,0.5,20220930.0,,,,,0.0,0.1396984924623114,-0.1428571428571428,0.4851957716049384,0.4301310016292555,0.1409669235574483,-0.1025869769482137,1.11393297
001907.OF,国投瑞银境煊A,国投瑞银基金,混合型,20151028,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,O,周思捷,3.76,20220930.0,,,,0.0089999999999998,0.026759167492567,0.0404440154440154,0.0266233766233765,0.4471757794848621,0.5825266970586399,0.3651789589992501,-0.1075878017054487,2.0873
519712.OF,交银阿尔法A,交银施罗德基金,混合型,20120803,1.5,0.25,沪深300指数收益率*75%+中证综合债券指数收益率*25%,混合型,O,何帅,61.46,20220930.0,0.0849999999999999,-0.0645161290322581,0.6266009852216751,0.3622047244094488,0.0269897732325476,0.1351257739100316,-0.0041574490807841,0.5206785208165766,0.372271160032144,0.1994138990749192,-0.1121349617952743,4.80207874
519697.OF,交银优势行业,交银施罗德基金,混合型,20090121,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,何帅,58.02,20220930.0,-0.0196007912245999,0.1097762289068231,0.3805470622262624,0.8194062013647789,0.0463563086033887,0.1081939378694504,0.0032061285288693,0.4390176650263023,0.3592902905317898,0.1976069616806392,-0.1122624035329784,5.611226946592339
