ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
166020.OF,中欧成长优选回报A,中欧基金,20130821,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),2.0,0.25,曹名长 沈悦 袁维德,1.17,20210930,0.15644985181718912,-0.18599473790730625,0.32582290734294717,0.23346270994188856,0.29105957916733416,0.03327328457310661,1.0529604195913274
166019.OF,中欧价值智选回报A,中欧基金,20130514,混合型,灵活配置型,金融机构人民币三年期定期存款基准利率(税后),1.5,0.25,袁维德,103.56,20210930,-0.0565806816042177,-0.07854683367433493,0.46295212800519814,0.609376361544524,0.5240766331050833,-0.06573262332078694,1.9144009179062327
166009.SZ,中欧动力LOF,中欧基金,20110210,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,王健 许文星,17.07,20210930,0.14814516453860713,-0.20426561897077897,0.5636494754936529,0.6174411528051806,0.09929119159228354,0.0072670585600959165,1.5591588311112905
001955.OF,中欧养老产业A,中欧基金,20160513,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,王健 许文星,11.18,20210930,0.15879017013232508,-0.17862969004893972,0.7034825870646768,0.43457943925233644,0.3379478827361564,0.02525867315885581,2.1843100189035916
001990.OF,中欧数据挖掘多因子A,中欧基金,20160113,混合型,灵活配置型,中证500指数收益率*95%+中债综合指数收益率*5%,1.5,0.25,曲径,15.59,20210930,-0.005270331667423923,-0.193551333576909,0.5198537572254336,0.5692295239755236,0.22880461494150467,-0.05325765057863729,1.2244832621535666
166006.SZ,中欧成长LOF,中欧基金,20091230,混合型,混合型,沪深300指数收益率*75%+中债综合指数收益率*25%,1.5,0.25,王培,94.19,20210930,0.35408492457930063,-0.2125563425627816,0.6123896811120195,0.675563379926712,0.02790736662956038,-0.09257063323150161,1.6871912895631702
166002.OF,中欧新蓝筹A,中欧基金,20080725,混合型,灵活配置型,沪深300指数*60%+上证国债指数*35%+一年期定期存款利率*5%,1.5,0.25,周蔚文,138.86,20210930,0.19700457293680743,-0.1832982923952618,0.591082380638478,0.42773877423995416,0.033865280892705886,-0.029031678616604505,1.2295860571463646
166001.SZ,中欧趋势LOF,中欧基金,20070129,混合型,混合型,富时中国A600指数*80%+富时中国国债指数*20%,1.5,0.25,周蔚文,56.35,20210930,0.23844117812693585,-0.2342321858942295,0.5481366405415036,0.6026080408565295,0.013305640132763238,-0.03367467513496744,1.304222943064707
001117.OF,中欧精选A,中欧基金,20150318,混合型,灵活配置型,沪深300指数收益率*65%+中债综合指数收益率*35%,1.0,0.25,周蔚文,76.24,20210930,0.2777036048064085,-0.22152560083594564,0.6241610738255033,0.5826446280991736,0.01879895561357704,-0.03229113275243473,1.5206942590120158
166024.SZ,中欧恒利定开,中欧基金,20171101,混合型,混合型,沪深300指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,曹名长 沈悦,4.39,20210930,0.008000000000000007,-0.19140702520341343,0.2722133464421776,0.08512251738794456,0.31584374847522123,0.03500551236961017,0.5298541299999999
