ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,all
008281.OF,国泰CES半导体芯片行业ETF联接A,国泰基金,20191122,股票型,被动指数型,中华交易服务半导体芯片行业指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,19.97,20210930,,,,,,,,0.03970000000000007,0.5039915360200058,0.2683379164801432,0.9833000000000001
008282.OF,国泰CES半导体芯片行业ETF联接C,国泰基金,20191122,股票型,被动指数型,中华交易服务半导体芯片行业指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,30.99,20210930,,,,,,,,0.0394000000000001,0.499422743890706,0.264613410330446,0.9709000000000001
007175.OF,中融聚通3个月定开债,中融基金,20191122,债券型,债券型,中债综合指数(全价)收益率,0.3,0.1,4.67,20210930,,,,,,,,0.0025999999999999357,0.03840015958507877,0.04405902410911546,0.08696985000000002
007983.OF,申万菱信中证研发创新100ETF联接A,申万菱信基金,20191121,股票型,被动指数型,中证研发创新100指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,1.38,20210930,,,,,,,,0.007400000000000073,0.7158030573754217,0.1322533989007811,0.9571000000000001
007984.OF,申万菱信中证研发创新100ETF联接C,申万菱信基金,20191121,股票型,被动指数型,中证研发创新100指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,0.73,20210930,,,,,,,,0.006999999999999895,0.7107249255213506,0.12886747547454588,0.9447000000000001
007860.OF,平安5-10年期政策性金融债C,平安基金,20191121,债券型,债券型,中证政策性金融债5-8年指数收益率*45%+中证政策性金融债8-10年指数收益率*45%+1年期定期存款利率(税后)*10%,0.3,0.1,0.0,20210930,,,,,,,,0.0015000000000000568,0.011882176734897675,0.05960134201697257,0.07380000000000009
007859.OF,平安5-10年期政策性金融债A,平安基金,20191121,债券型,债券型,中证政策性金融债5-8年指数收益率*45%+中证政策性金融债8-10年指数收益率*45%+1年期定期存款利率(税后)*10%,0.3,0.1,0.54,20210930,,,,,,,,0.0017000000000000348,0.022761305780173637,0.06071254270375796,0.0867
007256.OF,广发汇阳三个月,广发基金,20191121,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.1,2.17,20210930,,,,,,,,0.0024999999999999467,0.02845681795511235,0.01413551384193292,0.04560206999999994
008126.OF,创金合信中债1-3年国开债C,创金合信基金,20191121,债券型,被动指数型,中债1-3年国开行债券指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.15,0.05,0.09,20210930,,,,,,,,0.006000000000000005,0.030176699801192853,0.035917490500577694,0.07358113
008125.OF,创金合信中债1-3年国开债A,创金合信基金,20191121,债券型,被动指数型,中债1-3年国开行债券指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.15,0.05,1.54,20210930,,,,,,,,0.006099999999999994,0.03027313388331178,0.037294717187985035,0.07521592999999993
007738.OF,淳厚稳惠债券A,淳厚基金,20191120,债券型,债券型,中债-综合全价(总值)指数收益率,0.3,0.1,5.3,20210930,,,,,,,,0.003703419999999902,0.02425391755664255,0.04209244642045409,0.07132018000000007
007739.OF,淳厚稳惠债券C,淳厚基金,20191120,债券型,债券型,中债-综合全价(总值)指数收益率,0.3,0.1,0.0,20210930,,,,,,,,0.0033027000000001028,0.02116190856458355,0.0388824973683171,0.06437095999999998
007252.OF,广发中债农发债总指数A,广发基金,20191120,债券型,被动指数型,中债-农发行债券总指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,42.45,20210930,,,,,,,,0.004899999999999904,0.018886058314260195,0.04499658455602056,0.06994963999999992
007253.OF,广发中债农发债总指数C,广发基金,20191120,债券型,被动指数型,中债-农发行债券总指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.0,20210930,,,,,,,,0.0047999999999999154,0.01678057324840782,0.043977233860088394,0.06659094999999993
007830.OF,建信荣瑞一年定开,建信基金,20191120,债券型,债券型,银行一年期定期存款利率(税后)+1%,0.15,0.1,54.99,20201120,,,,,,,,0.0025999999999999357,0.025424266906044272,,0.02809036999999992
007464.OF,交银创业板50指数A,交银施罗德基金,20191120,股票型,被动指数型,创业板50指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.5,0.15,11.67,20210930,,,,,,,,0.02760000000000007,0.8571428571428571,0.1616537413540137,1.2168999999999999
008050.OF,同泰慧择A,同泰基金,20191120,混合型,混合型,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*40%,1.2,0.2,0.96,20210930,,,,,,,,0.0027999999999999137,0.23853211009174322,0.022061191626409092,0.2694000000000001
007465.OF,交银创业板50指数C,交银施罗德基金,20191120,股票型,被动指数型,创业板50指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.5,0.15,7.92,20210930,,,,,,,,0.027099999999999902,0.8499659234738585,0.1570443660859956,1.1985000000000001
008051.OF,同泰慧择C,同泰基金,20191120,混合型,混合型,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*40%,1.2,0.2,0.15,20210930,,,,,,,,0.0022999999999999687,0.2336625760750274,0.0180347755762232,0.2587999999999999
008170.OF,博时富添纯债,博时基金,20191120,债券型,债券型,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,0.3,0.1,0.52,20210930,,,,,,,,0.0028999999999999027,0.016252866686609038,0.018642072213500692,0.03820000000000001
007585.OF,工银瑞弘3个月定开,工银瑞信基金,20191119,债券型,债券型,中债国开行债券总财富(1-3年)指数收益率,0.3,0.1,141.8,20210930,,,,,,,,0.0043999999999999595,0.028730127439267266,0.03926929898745185,0.0738318
007168.OF,华安安和C,华安基金,20191119,债券型,债券型,中债综合全价指数收益率*90%+1年期定期存款利率(税后)*10%,0.3,0.1,0.0,20210930,,,,,,,,0.005600000000000049,0.02586990851233085,0.049443892224963995,0.0826218299999999
007167.OF,华安安和A,华安基金,20191119,债券型,债券型,中债综合全价指数收益率*90%+1年期定期存款利率(税后)*10%,0.3,0.1,5.12,20210930,,,,,,,,0.0037000000000000366,0.02681579157118657,0.05055221347882362,0.08271487999999994
008042.OF,兴业中证银行50金融债指数A,兴业基金,20191119,债券型,被动指数型,中证银行50金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.3,0.05,14.97,20210930,,,,,,,,0.006000000000000005,0.0249428230616303,0.04270574255376186,0.07512604999999994
008043.OF,兴业中证银行50金融债指数C,兴业基金,20191119,债券型,被动指数型,中证银行50金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.3,0.05,0.0,20210930,,,,,,,,0.005700000000000038,0.024048563189818045,0.04157423731046475,0.07270234999999992
008144.OF,工银智远配置三个月持有期,工银瑞信基金,20191119,混合型,混合型,中证工银财富动态配置基金指数收益率*90%+金融机构人民币活期存款基准利率(税后)*10%,0.5,0.2,6.09,20210930,,,,,,,,0.0025999999999999357,0.08148813085976472,0.040394724707184415,0.1281000000000001
008117.OF,博时稳欣39个月定开债,博时基金,20191119,债券型,债券型,三年期定期存款利率(税后)*110%,0.15,0.05,183.75,20210930,,,,,,,,0.0032000000000000917,0.031060177432216708,0.031544388379371985,0.06698781000000009
007670.OF,嘉实商业银行精选,嘉实基金,20191119,债券型,债券型,中债商业银行债券指数收益率*90%+一年期定期存款利率(税后)*10%,0.25,0.05,0.61,20210930,,,,,,,,0.0022999999999999687,0.02265645016462147,0.024902884713470044,0.05053423000000001
007968.OF,华泰柏瑞研究精选A,华泰柏瑞基金,20191119,混合型,混合型,中证800指数收益率*80%+上证国债指数收益率*10%+银行活期存款利率(税后)*10%,1.5,0.25,9.51,20210930,,,,,,,,0.031199999999999894,0.6043444530643912,0.1517166344294003,0.9054
007943.OF,富安达中证500指数增强,富安达基金,20191119,股票型,增强指数型,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,0.75,0.15,0.28,20210930,,,,,,,,0.006699999999999928,0.20691367835502153,0.15621399176954728,0.40480000000000005
007667.OF,华夏鼎泓C,华夏基金,20191119,债券型,债券型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,1.51,20210930,,,,,,,,0.02059999999999995,0.09259259259259263,0.11505694556542022,0.24340000000000006
007666.OF,华夏鼎泓A,华夏基金,20191119,债券型,债券型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,1.4,20210930,,,,,,,,0.020999999999999908,0.09696376101860942,0.11955357142857133,0.2539
008044.OF,博远增强回报A,博远基金,20191119,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.15,9.62,20210930,,,,,,,,0.01309999999999989,0.05865855295627285,0.0173748822617031,0.0911620099999999
008045.OF,博远增强回报C,博远基金,20191119,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.7,0.15,0.88,20210930,,,,,,,,0.012699999999999934,0.054389661301471284,0.013338051407030484,0.08202251999999999
005991.OF,长信利丰A,长信基金,20191119,债券型,稳健增长型,中证全债指数*90%+中证800指数*10%,0.7,0.2,2.15,20210930,,,,,,,,0.016236162361623632,0.1299530137981119,0.05818969985641519,0.21511829520295203
007203.OF,银河新动能,银河基金,20191118,混合型,混合型,中国战略新兴产业成份指数收益率*75%+中债综合全价指数收益率*25%,1.5,0.25,4.19,20210930,,,,,,,,9.999999999998899e-05,1.0105989401059896,0.15163119156554603,1.3157
007689.OF,国投瑞银新能源A,国投瑞银基金,20191118,混合型,混合型,中证新能源指数收益率*60%+恒生工业行业指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,1.5,0.25,48.28,20210930,,,,,,,,0.09460000000000002,1.0353862598209393,0.6302340042599109,2.63205344
007690.OF,国投瑞银新能源C,国投瑞银基金,20191118,混合型,混合型,中证新能源指数收益率*60%+恒生工业行业指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,1.5,0.25,33.14,20210930,,,,,,,,0.09410000000000007,1.0273372543643176,0.6237262053528111,2.60160283
008037.OF,兴银先锋成长A,兴银基金,20191118,混合型,混合型,沪深300指数收益率*50%+中证综合债指数收益率*50%,1.5,0.25,0.31,20210930,,,,,,,,0.007900000000000018,0.3359460263915071,0.13516524322317114,0.5285
008038.OF,兴银先锋成长C,兴银基金,20191118,混合型,混合型,沪深300指数收益率*50%+中证综合债指数收益率*50%,1.5,0.25,0.22,20210930,,,,,,,,0.006899999999999906,0.32098520210547243,0.12600556349146677,0.49770000000000003
007333.OF,嘉合磐昇纯债C,嘉合基金,20191115,债券型,债券型,中债综合全价指数收益率,0.4,0.05,0.37,20210930,,,,,,,,0.004999999999999893,0.035422885572139386,0.045454545454545574,0.08790000000000009
007332.OF,嘉合磐昇纯债A,嘉合基金,20191115,债券型,债券型,中债综合全价指数收益率,0.4,0.05,3.39,20210930,,,,,,,,0.005300000000000082,0.03730229782154567,0.047372458764863935,0.09220000000000006
007958.OF,华泰柏瑞益通三个月定开债,华泰柏瑞基金,20191115,债券型,债券型,中债综合指数收益率,0.3,0.05,22.31,20210930,,,,,,,,0.001100000000000101,0.027310388572570142,0.04762891322738046,0.07742392999999992
008222.OF,兴业机遇C,兴业基金,20191115,债券型,债券型,中国债券综合全价指数收益率*80%+中证可转债指数收益率*10%+沪深300指数收益率*10%,0.7,0.15,0.01,20210930,,,,,,,,0.04961136167354388,0.13937297494971657,0.1938274698475298,0.42769686210536406
008213.OF,华夏新起点C,华夏基金,20191115,混合型,灵活配置型,沪深300指数收益率*50%+上证国债指数收益率*50%,0.8,0.25,0.02,20210930,,,,,,,,0.01602023608768982,0.5502074688796681,0.16648822269807265,0.8372681281618887
008212.OF,华夏新机遇C,华夏基金,20191115,混合型,灵活配置型,沪深300指数收益率*50%+上证国债指数收益率*50%,0.6,0.15,3.14,20210930,,,,,,,,0.012184508268059193,0.14354249355116072,0.05251070288949592,0.21825587467362914
007092.OF,鑫元中债3-5年国开行A,鑫元基金,20191115,债券型,被动指数型,中债-3-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,1.06,20210930,,,,,,,,0.0044999999999999485,0.01921353907416635,0.04414924789998037,0.06899999999999995
007093.OF,鑫元中债3-5年国开行C,鑫元基金,20191115,债券型,被动指数型,中债-3-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.02,20210930,,,,,,,,0.0040999999999999925,0.01812568469275968,0.04323584075124721,0.0665
008221.OF,兴业聚鑫C,兴业基金,20191115,混合型,灵活配置型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.6,0.13,0.85,20210930,,,,,,,,0.02116850127011,0.154228855721393,0.06465517241379316,0.25486875529212527
008030.OF,农银汇理金益,农银汇理基金,20191114,债券型,债券型,中证全债指数收益率,0.3,0.1,38.65,20210930,,,,,,,,0.007800000000000029,0.043364298471918986,0.046869891536353236,0.10078634999999991
007228.OF,华安中债7-10年国开行A,华安基金,20191113,债券型,被动指数型,中债-7-10年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,6.54,20210930,,,,,,,,0.0046999999999999265,-0.004269324176370895,0.06405981639878829,0.06449672999999989
007229.OF,华安中债7-10年国开行C,华安基金,20191113,债券型,被动指数型,中债-7-10年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.0,20210930,,,,,,,,0.004503270000000059,-0.0062765549782631365,0.063005778059463,0.06109071999999993
007638.OF,前海开源康颐平衡养老三年,前海开源基金,20191113,混合型,混合型,MSCI中国A股指数收益率*50%+中证全债指数收益率*50%,1.0,0.2,0.67,20210930,,,,,,,,0.017900000000000027,0.10531486393555355,-0.006399431161674602,0.1178999999999999
004557.OF,北信瑞丰鼎丰,北信瑞丰基金,20191113,混合型,灵活配置型,沪深300指数收益率*50%+中证综合债券指数收益率*50%,1.5,0.25,0.42,20210930,,,,,,,,0.024499999999999966,0.2938994631527574,0.0501659625829813,0.3920999999999999
007806.OF,建信MSCI中国A股指数增强A,建信基金,20191113,股票型,增强指数型,MSCI中国A股指数(人民币)收益率*95%+银行活期存款利率(税后)*5%,1.0,0.2,0.41,20210930,,,,,,,,0.023600000000000065,0.4673015826494723,0.13162026403495938,0.6996143100000001
007970.OF,国寿安保安泽39个月定开,国寿安保基金,20191113,债券型,债券型,封闭期起始日公布的三年定期存款利率(税后)+1.5%,0.15,0.05,119.56,20210930,,,,,,,,0.0038000000000000256,0.031128631201434616,0.030999473917568816,0.06713283000000003
007835.OF,国泰鑫睿,国泰基金,20191113,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,8.32,20210930,,,,,,,,0.042100000000000026,0.6676902408598023,0.23004775878934355,1.1377000000000002
007797.OF,博时中证央企创新驱动ETF联接C,博时基金,20191113,股票型,被动指数型,中证央企创新驱动指数收益率*95%+银行活期存款(税后)利率*5%,0.15,0.05,0.08,20210930,,,,,,,,0.009200000000000097,0.11107808164883061,0.2429323107107821,0.39369999999999994
007796.OF,博时中证央企创新驱动ETF联接A,博时基金,20191113,股票型,被动指数型,中证央企创新驱动指数收益率*95%+银行活期存款(税后)利率*5%,0.15,0.05,0.31,20210930,,,,,,,,0.009700000000000042,0.11567792413588196,0.24775854416333767,0.40559999999999996
007854.OF,光大保德信景气先锋,光大保德信基金,20191113,混合型,混合型,沪深300指数收益率*50%+中证全债指数收益率*50%,1.5,0.25,2.37,20210930,,,,,,,,0.033600000000000074,0.7827012383900928,0.1792032996852274,1.1728
007718.OF,中银创新医疗A,中银基金,20191113,混合型,混合型,中证医药卫生指数收益率*80%+中债综合指数收益率*20%,1.5,0.25,5.3,20210930,,,,,,,,-0.0009000000000000119,0.8861975778200382,-0.05932608118864426,0.7726999999999999
007807.OF,建信MSCI中国A股指数增强C,建信基金,20191113,股票型,增强指数型,MSCI中国A股指数(人民币)收益率*95%+银行活期存款利率(税后)*5%,1.0,0.2,1.9,20210930,,,,,,,,0.0230999999999999,0.46154022089727315,0.12717101658006422,0.6854608499999999
007559.OF,鑫元富利三个月定开债,鑫元基金,20191113,债券型,债券型,中证全债指数收益率,0.3,0.1,10.01,20210930,,,,,,,,0.00869999999999993,0.04150289481510864,0.04051098382899989,0.09312334999999994
870017.OF,广发资管消费精选,广发资管,20191112,混合型,灵活配置型,中证内地消费主题指数收益率*60%+中债总指数收益率*30%+恒生中国企业指数(使用估值汇率折算)收益率*10%,1.2,0.25,3.53,20210930,,0.10455177000000004,0.18485954714463046,0.23088647695000925,-0.22982809119706954,0.48644939883572735,-0.24852994962717823,0.4324632053517852,0.4158220957535165,-0.1900757506946572,1.27674515
008140.OF,汇添富绝对收益策略C,汇添富基金,20191111,混合型,混合型,一年期定期存款利率(税后),1.5,0.25,39.27,20210930,,,,,,,,0.0062745098039215744,0.07950116913484029,-0.005054151624548821,0.08078431372549019
008176.OF,长信利保C,长信基金,20191111,债券型,债券型,三年期银行定期存款利率(税后)+1.5%,0.5,0.1,1.4,20210930,,,,,,,,0.005576396633884275,0.016031457955232933,0.03383943634018063,0.05627091148737717
007546.OF,融通增享纯债,融通基金,20191108,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,0.63,20210930,,,,,,,,0.006099999999999994,0.027830235563065325,0.03423266608645187,0.0694999999999999
007516.OF,融通增润三个月定期开放,融通基金,20191108,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,30.41,20210930,,,,,,,,0.007600000000000051,0.029300516077808515,0.04184938684237326,0.08052616999999995
007957.OF,华宝宝惠39个月定开债,华宝基金,20191108,债券型,债券型,封闭期起始日公布的三年定期存款利率(税后)+1.5%,0.15,0.05,61.21,20210930,,,,,,,,0.0038000000000000256,0.031507790396493346,0.03176098699791161,0.06831371999999991
004977.OF,华润元大景泰C,华润元大基金,20191108,混合型,混合型,中债总指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,0.6,0.1,2.47,20210930,,,,,,,,0.0045999999999999375,0.05345411108899073,0.056694699045639285,0.11830000000000007
004976.OF,华润元大景泰A,华润元大基金,20191108,混合型,混合型,中债总指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,0.6,0.1,0.0,20210930,,,,,,,,0.0047999999999999154,0.05553343949044594,0.05798604563454659,0.1221000000000001
007716.OF,嘉实致华纯债,嘉实基金,20191107,债券型,债券型,中债综合全价指数收益率,0.3,0.1,8.64,20210930,,,,,,,,0.0020999999999999908,0.008298912284203095,0.04175893473773412,0.05261025000000008
007999.OF,国联安恒利63个月定期开放A,国联安基金,20191107,债券型,债券型,三年定期存款基准利率(税后)+1.25%,0.2,0.1,85.46,20210930,,,,,,,,0.0038000000000000256,0.041251932655907465,0.04232058193086777,0.08944252999999991
007325.OF,鑫元1-3年国开债C,鑫元基金,20191107,债券型,被动指数型,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.02,20210930,,,,,,,,0.005600000000000049,0.017857627287191674,0.03403836675029223,0.05839785999999991
007324.OF,鑫元1-3年国开债A,鑫元基金,20191107,债券型,被动指数型,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,1.07,20210930,,,,,,,,0.005600000000000049,0.01895213802704846,0.03508254512989971,0.06060588999999994
008000.OF,国联安恒利63个月定期开放C,国联安基金,20191107,债券型,债券型,三年定期存款基准利率(税后)+1.25%,0.2,0.1,0.0,20210930,,,,,,,,0.0033000000000000806,0.038141881790092626,0.03917657780782869,0.08237281000000007
007454.OF,民生加银嘉盈,民生加银基金,20191107,债券型,债券型,中国债券综合指数收益率,0.3,0.1,9.26,20210930,,,,,,,,0.004999999999999893,0.3456509353233832,0.03762940185437189,0.4032684099999999
008201.OF,银华MSCI中国A股ETF联接C,银华基金,20191107,股票型,被动指数型,MSCI中国A股人民币指数(MSCI China A RMBIndex)收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,0.07,20210930,,,,,,,,0.029065939234314882,0.3822669104204752,0.06116915751884673,0.5094534850907724
007713.OF,华富科技动能,华富基金,20191106,混合型,混合型,中证800指数收益率*75%+中证综合债券指数收益率*25%,1.5,0.25,0.75,20210930,,,,,,,,0.008599999999999941,0.31038308546500104,0.1609836619822831,0.5344168199999999
166108.OF,信达澳银量化多因子C,信达澳银基金,20191106,混合型,混合型,中证500指数收益率*95%+银行活期存款利率(税后)*5%,1.5,0.25,0.0,20210930,,,,,,,,0.0685,0.3042583060364997,-0.008610792192881753,0.38159999999999994
007785.OF,广发中证央企创新驱动ETF联接C,广发基金,20191106,股票型,被动指数型,中证央企创新驱动指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.38,20210930,,,,,,,,0.03620000000000001,0.14900598340088794,0.2598689736267427,0.5
007784.OF,广发中证央企创新驱动ETF联接A,广发基金,20191106,股票型,被动指数型,中证央企创新驱动指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,0.7,20210930,,,,,,,,0.03639999999999999,0.15023157082207636,0.2610519251740627,0.5033000000000001
007481.OF,华夏逸享健康,华夏基金,20191106,混合型,灵活配置型,上证国债指数收益率*50%+中证医药卫生指数收益率*35%+中证香港300医药卫生指数收益率*15%,1.5,0.25,1.04,20210930,,,,,,,,0.028000000000000025,0.30865758754863803,-0.10057236304170072,0.20999999999999996
007908.OF,招商添韵3个月定开A,招商基金,20191106,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1,10.65,20210930,,,,,,,,0.0036000000000000476,0.022618573136707794,0.037569502094904006,0.06485757999999997
007909.OF,招商添韵3个月定开C,招商基金,20191106,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1,0.0,20210930,,,,,,,,0.0,,0.007870815990707622,0.04123133999999995
007409.OF,鹏扬淳开C,鹏扬基金,20191106,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.1,0.0,20210930,,,,,,,,0.006699999999999928,0.02007227575245852,0.04468010318677828,0.07278906000000007
007408.OF,鹏扬淳开A,鹏扬基金,20191106,债券型,债券型,中债综合财富(总值)指数收益率,0.3,0.1,0.55,20210930,,,,,,,,0.007200000000000095,0.024367920969022985,0.05016728142386796,0.08350312999999998
008173.OF,兴全稳泰C,兴证全球基金,20191106,债券型,债券型,中证全债指数收益率,0.3,0.1,21.12,20210930,,,,,,,,0.008571713345958278,0.029449550350825228,0.04982240568301798,0.09000299013256235
007876.OF,国融融兴C,国融基金,20191105,混合型,灵活配置型,沪深300指数收益率*50%+上证国债指数收益率*50%,1.2,0.2,0.02,20210930,,,,,,,,-0.013399999999999967,0.3544496249746604,-0.139339968569932,0.1500999999999999
007247.OF,易方达汇智稳健养老一年,易方达基金,20191105,混合型,混合型,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,0.9,0.2,2.19,20210930,,,,,,,,0.005600000000000049,0.10749801113762913,0.04283020562090337,0.1614
007875.OF,国融融兴A,国融基金,20191105,混合型,灵活配置型,沪深300指数收益率*50%+上证国债指数收益率*50%,1.2,0.2,0.05,20210930,,,,,,,,-0.0131,0.3571790454959975,-0.13759892489174252,0.15510000000000002
008002.OF,银华稳晟39个月定开,银华基金,20191105,债券型,债券型,同期三年定期存款利率(税后)*1.1,0.15,0.05,104.23,20210930,,,,,,,,0.0043999999999999595,0.03249436479490239,0.032476525869357786,0.0707167099999999
008182.OF,方正富邦信泓C,方正富邦基金,20191105,混合型,灵活配置型,沪深300指数收益率*70%+中证全债指数收益率*30%,0.8,0.25,0.04,20210930,,,,,,,,0.026599999999999957,0.32330021429962996,-0.07419948472580051,0.25770000000000004
007656.OF,南方定元中短债C,南方基金,20191105,债券型,债券型,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.1,2.83,20210930,,,,,,,,0.0039000000000000146,0.017332403625859232,0.045120395574267995,0.06738146
007655.OF,南方定元中短债A,南方基金,20191105,债券型,债券型,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,0.3,0.1,14.39,20210930,,,,,,,,0.0044999999999999485,0.021403683424589422,0.04933631578947373,0.07661906000000007
007791.OF,南方梦元短债C,南方基金,20191105,债券型,债券型,中债综合(1年以下)指数收益率,0.25,0.05,1.07,20210930,,,,,,,,0.0040999999999999925,0.025595060252962907,0.02809799961157505,0.058735320000000035
007790.OF,南方梦元短债A,南方基金,20191105,债券型,债券型,中债综合(1年以下)指数收益率,0.25,0.05,3.98,20210930,,,,,,,,0.0045999999999999375,0.02846904240493725,0.031117915214866516,0.06535102999999998
008026.OF,汇添富稳健增长C,汇添富基金,20191105,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,1.0,0.25,5.06,20210930,,,,,,,,0.0035000000000000586,0.18744394618834073,0.029624034911044067,0.2269000000000001
008025.OF,汇添富稳健增长A,汇添富基金,20191105,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,1.0,0.25,9.39,20210930,,,,,,,,0.0040999999999999925,0.19231152275669758,0.03366187771466756,0.23750000000000004
006198.OF,长盛龙头双核驱动,长盛基金,20191104,混合型,混合型,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.5,0.25,0.55,20210930,,,,,,,,0.027800000000000047,0.6138353765323993,0.0011454753722795036,0.6606000000000001
007816.OF,嘉实新兴科技100ETF联接C,嘉实基金,20191101,股票型,被动指数型,中证新兴科技100策略指数收益率*95%+银行活期存款(税后)利率*5%,0.5,0.1,0.25,20210930,,,,,,,,0.03689999999999993,0.31652039733821974,0.02607867555490446,0.40070000000000006
007114.OF,永赢高端制造C,永赢基金,20191101,混合型,混合型,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,0.26,20210930,,,,,,,,0.10450000000000004,0.4363060208239022,-0.10943015632879474,0.41280000000000006
007113.OF,永赢高端制造A,永赢基金,20191101,混合型,混合型,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,1.5,0.25,2.92,20210930,,,,,,,,0.1049,0.4392252692551363,-0.10765941391019998,0.41900000000000004
007815.OF,嘉实新兴科技100ETF联接A,嘉实基金,20191101,股票型,被动指数型,中证新兴科技100策略指数收益率*95%+银行活期存款(税后)利率*5%,0.5,0.1,0.59,20210930,,,,,,,,0.0371999999999999,0.31932124951793306,0.02806197018415667,0.40680000000000005
008127.OF,广发趋势优选C,广发基金,20191031,混合型,灵活配置型,沪深300指数*50%+中证全债指数*50%,0.6,0.15,12.18,20210930,,,,,,,,0.022026143790849714,0.07276471829634841,0.035063549616583416,0.13483703921568632
007037.OF,海富通聚合纯债,海富通基金,20191031,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,8.15,20210930,,,,,,,,0.006399999999999961,0.028046780604133483,0.03028883047509694,0.06596390000000008
008162.OF,浦银安盛经济带崛起C,浦银安盛基金,20191031,混合型,灵活配置型,中证500指数收益率*55%+中证全债指数收益率*45%,1.5,0.25,1.22,20210930,,,,,,,,0.021268860207234924,0.21308100747597022,0.0008259466482983804,0.23990510816215227
870008.OF,广发资管乾利一年持有A,广发资管,20191031,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.6,0.15,8.06,20210930,,,,,,,,0.004857431222529756,0.03822160149579144,0.027563184852019286,0.07202038906071956
872014.OF,广发资管乾利一年持有C,广发资管,20191031,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,0.6,0.15,14.06,20210930,,,,,,,,-0.17841445547777945,0.03507033881513758,0.024598009188361462,-0.12868305388246778
007996.OF,博时富顺纯债,博时基金,20191031,债券型,债券型,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,0.3,0.1,10.38,20210930,,,,,,,,0.016999999999999904,0.02299387413962641,0.049474695789712524,0.09185748999999999
